date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd,p_now,p_hist,p20
2026-04-01,NRC,CTCP Tập đoàn NRC,HNX,8630,5.9,534700.0,3154730000.0,9432599000.0,0.5120324825107859,0.05,0.281016241255393
2026-04-01,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,HSX,8630,18.7,2621800.0,49027660000.0,49694808000.0,0.26105359912315623,0.3,0.2805267995615781
2026-04-01,TPB,Ngân Hàng TMCP Tiên Phong,HSX,8350,16.35,11594500.0,189570075000.00003,114565700750.0,0.35909681893387313,0.2,0.2795484094669366
2026-04-01,VSC,CTCP Container Việt Nam,HSX,2770,24.25,5369500.0,130210375000.0,141052574250.0,0.5076324209406142,0.05,0.27881621047030714
2026-04-01,QTP,CTCP Nhiệt điện Quảng Ninh,UPCOM,7530,13.1,743300.0,9737230000.0,7139067000.0,0.5550769332144778,0.0,0.2775384666072389
2026-04-01,VTO,CTCP Vận tải Xăng dầu Vitaco,HSX,2770,11.7,165500.0,1936350000.0,2270741500.0,0.3049305923776389,0.25,0.27746529618881943
2026-04-01,HPG,CTCP Tập đoàn Hòa Phát,HSX,1750,27.15,31503700.0,855325455000.0,997797551500.0,0.5540184421390912,0.0,0.2770092210695456
2026-04-01,MBB,Ngân hàng TMCP Quân Đội,HSX,8350,26.5,18947700.0,502114050000.0,406029200250.0,0.5426949087382443,0.0,0.27134745436912217
2026-04-01,SCR,CTCP Địa ốc Sài Gòn Thương Tín,HSX,8630,6.33,1906700.0,12069411000.0,11467740700.0,0.33918805150392056,0.2,0.2695940257519603
2026-04-01,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HSX,8350,26.8,10288600.0,275734480000.0,384020690750.0,0.38720766423459796,0.15,0.268603832117299
2026-04-01,VNM,CTCP Sữa Việt Nam,HSX,3570,61.3,5446200.0,333852060000.0,236670584500.0,0.3842826123522121,0.15,0.26714130617610604
2026-04-01,SHS,CTCP Chứng khoán Sài Gòn - Hà Nội,HNX,8780,17.5,23775000.0,416062500000.0,278022010000.0,0.2824787031129153,0.25,0.2662393515564576
2026-04-01,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HSX,8350,15.2,79845400.0,1213650080000.0,1110419437750.0,0.3824140813535776,0.15,0.2662070406767888
2026-04-01,TLG,CTCP Tập đoàn Thiên Long,HSX,3720,48.65,388400.0,18895660000.0,12173497500.0,0.4316745062899022,0.1,0.2658372531449511
2026-04-01,ACV,Tổng Công ty Cảng hàng không Việt Nam - CTCP,UPCOM,2770,46.9,1153400.0,54094460000.0,30047377000.0,0.23110697789085566,0.3,0.26555348894542785
2026-04-01,IJC,CTCP Phát triển Hạ tầng Kỹ thuật,HSX,8630,10.2,2065900.0,21072180000.0,26524490250.0,0.3280568553825647,0.2,0.2640284276912823
2026-04-01,KSB,CTCP Khoáng sản và Xây dựng Bình Dương,HSX,1770,16.3,1300000.0,21190000000.0,19096425250.0,0.37354213796571945,0.15,0.26177106898285973
2026-04-01,SBT,CTCP Thành Thành Công - Biên Hòa,HSX,3570,22.3,674000.0,15030200000.0,9999195750.0,0.36824912456622,0.15,0.25912456228311
2026-04-01,SCS,CTCP Dịch vụ Hàng hóa Sài Gòn,HSX,2770,54.3,128500.0,6977550000.0,6927218500.0,0.46669668649070883,0.05,0.25834834324535444
2026-04-01,SHI,CTCP Quốc tế Sơn Hà,HSX,3720,14.05,211700.0,2974385000.0,4020070250.0,0.3621242716187885,0.15,0.25606213580939424
2026-04-01,ACB,Ngân hàng TMCP Á Châu,HSX,8350,23.8,9883500.0,235227300000.0,233884548500.0,0.5120024660092646,0.0,0.2560012330046323
