date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd
2026-04-01,DRI,CTCP Đầu tư Cao su Đắk Lắk,UPCOM,1350,12.8,532400.0,6814720000.0,8406146000.0
2026-04-01,ELC,CTCP Công nghệ - Viễn thông ELCOM,HSX,9530,18.35,359700.0,6600495000.0,5305991000.0
2026-04-01,CTF,CTCP City Auto,HSX,3350,18.5,356200.0,6589700000.0,5925572250.0
2026-04-01,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,HSX,8630,13.0,469000.0,6097000000.0,4346919750.0
2026-04-01,MZG,CTCP MiZa,UPCOM,1730,13.3,450800.0,5995640000.0,4835142500.0
2026-04-01,CMG,CTCP Tập đoàn Công nghệ CMC,HSX,9530,29.1,201600.0,5866560000.0,8415571000.0
2026-04-01,DRC,CTCP Cao Su Đà Nẵng,HSX,3350,13.5,424100.0,5725350000.0,3378949000.0
2026-04-01,DHC,CTCP Đông Hải Bến Tre,HSX,1730,35.3,158100.0,5580930000.0,9514276750.0
2026-04-01,DXP,CTCP Cảng Đoạn Xá,HNX,2770,13.1,419500.0,5495450000.0,7307849500.0
2026-04-01,KDC,CTCP Tập đoàn KIDO,HSX,3570,49.2,109900.0,5407080000.0,20452667500.0
2026-04-01,DSH,CTCP Đầu tư Hạ tầng Đông Sơn,UPCOM,2350,14.2,369200.0,5242640000.0,5307313500.0
2026-04-01,C69,CTCP Xây dựng 1369,HNX,2350,15.9,328200.0,5218380000.0,8752466000.0
2026-04-01,HAX,CTCP Dịch Vụ Ô Tô Hàng Xanh,HSX,3350,10.65,482200.0,5135430000.0,3015787500.0
2026-04-01,BIC,Tổng CTCP Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,HSX,8530,24.1,213000.0,5133300000.0,2193209000.0
2026-04-01,PHP,CTCP Cảng Hải Phòng,UPCOM,2770,34.2,144400.0,4938480000.0,3828200500.0
2026-04-01,PVB,CTCP Bọc ống Dầu khí Việt Nam,HNX,0570,29.2,167200.0,4882240000.0,2995279500.0
2026-04-01,PTB,CTCP Phú Tài,HSX,2350,49.35,96400.0,4757340000.0,5908554250.0
2026-04-01,VAB,Ngân hàng TMCP Việt Á,HSX,8350,10.1,429500.0,4337950000.0,4618270000.0
2026-04-01,APG,CTCP Chứng khoán APG,HSX,8780,5.8,744900.0,4320420000.0,3816806350.0
2026-04-01,HHP,CTCP HHP Global,HSX,1730,12.5,339400.0,4242500000.0,10671436750.0
2026-04-01,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCOM,8350,11.4,370000.0,4218000000.0,3689132000.0
2026-04-01,NTP,CTCP Nhựa Thiếu Niên Tiền Phong,HNX,2350,57.3,73400.0,4205820000.0,10016196500.0
2026-04-01,IDI,CTCP Đầu tư và Phát triển Đa quốc gia I.D.I,HSX,3570,6.81,602800.0,4105068000.0,3076046300.0
2026-04-01,BMI,Tổng CTCP Bảo Minh,HSX,8530,17.2,230400.0,3962880000.0,6872621250.0
2026-04-01,LDG,CTCP Đầu tư LDG,HSX,8630,3.57,1086500.0,3878805000.0,2670602250.0
2026-04-01,FUEVN100,Quỹ ETF VINACAPITALVN100,HSX,8990,24.73,153500.0,3796055000.0,2412779900.0
2026-04-01,DLG,CTCP Tập đoàn Đức Long Gia Lai,HSX,8630,2.88,1302600.0,3751488000.0,3085603200.0
2026-04-01,L40,CTCP Đầu tư và Xây dựng 40,HNX,2350,63.9,58600.0,3744540000.0,5073916500.0
2026-04-01,NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,HSX,2350,13.3,276600.0,3678780000.0,2430573250.0
